net,length_um
_0231_,15.38µm
_0237_,15.28µm
_0171_,15.26µm
_0408_,15.24µm
_0657_,15.24µm
_0599_,15.18µm
_0538_,15.04µm
net13,15µm
_0676_,14.98µm
_0242_,14.96µm
_0643_,14.92µm
_0667_,14.92µm
net51,14.88µm
_0604_,14.81µm
_0426_,14.78µm
_0224_,14.77µm
_0401_,14.72µm
_0300_,14.68µm
_0417_,14.66µm
_0548_,14.66µm
_0436_,14.64µm
_0307_,14.48µm
_0230_,14.46µm
_0441_,14.44µm
_0572_,14.44µm
_0185_,14.38µm
_0306_,14.38µm
_0528_,14.34µm
net47,14.34µm
rdata[25],14.32µm
_0554_,14.26µm
_0577_,14.26µm
_0624_,14.22µm
_0564_,14.175µm
_0527_,14.12µm
_0457_,14µm
_0550_,14µm
_0543_,13.84µm
net124,13.84µm
_0323_,13.8µm
_0460_,13.8µm
_0374_,13.76µm
_0445_,13.685µm
_0532_,13.68µm
_0198_,13.62µm
_0660_,13.62µm
_0305_,13.52µm
_0502_,13.46µm
_0575_,13.46µm
_0184_,13.42µm
_0206_,13.42µm
_0523_,13.42µm
net36,13.42µm
_0099_,13.32µm
_0446_,13.22µm
_0180_,13.1µm
_0088_,13µm
_0366_,12.94µm
_0228_,12.92µm
_0322_,12.865µm
_0513_,12.84µm
_0645_,12.84µm
_0281_,12.78µm
_0267_,12.76µm
_0673_,12.64µm
_0487_,12.54µm
_0598_,12.52µm
rdata[8],12.48µm
_0190_,12.3µm
_0272_,12.3µm
_0474_,12.3µm
_0482_,12.3µm
_0321_,12.12µm
net3,12.12µm
_0364_,12.04µm
_0477_,12.04µm
_0492_,12.04µm
rdata[6],12.02µm
rdata[7],12.02µm
_0294_,12µm
_0385_,11.98µm
_0361_,11.96µm
_0250_,11.92µm
net21,11.92µm
_0592_,11.9µm
_0326_,11.86µm
_0318_,11.82µm
core_b\[0\],11.78µm
_0646_,11.73µm
_0518_,11.68µm
_0350_,11.66µm
net2,11.64µm
_0214_,11.62µm
net120,11.62µm
_0168_,11.58µm
_0274_,11.58µm
rdata[23],11.56µm
rdata[26],11.56µm
rdata[27],11.56µm
rdata[28],11.56µm
rdata[29],11.56µm
rdata[30],11.56µm
rdata[31],11.56µm
_0212_,11.54µm
_0186_,11.52µm
_0488_,11.5µm
_0208_,11.42µm
net5,11.34µm
_0232_,11.26µm
_0427_,11.2µm
rdata[10],11.19µm
net24,11.16µm
net42,11.16µm
_0452_,11.14µm
_0479_,11.12µm
_0345_,11.1µm
_0340_,11.08µm
_0202_,11.06µm
_0167_,11.04µm
_0658_,11µm
_0259_,10.98µm
_0670_,10.92µm
_0215_,10.88µm
_0679_,10.88µm
rst,10.88µm
_0248_,10.85µm
_0353_,10.78µm
_0411_,10.78µm
_0447_,10.78µm
_0478_,10.78µm
_0335_,10.74µm
_0450_,10.7µm
_0273_,10.68µm
_0459_,10.68µm
net38,10.62µm
_0086_,10.58µm
_0555_,10.52µm
_0348_,10.5µm
_0503_,10.44µm
_0483_,10.42µm
_0140_,10.36µm
_0519_,10.32µm
_0559_,10.32µm
net156,10.32µm
_0412_,10.28µm
_0542_,10.28µm
_0607_,10.28µm
_0166_,10.26µm
_0226_,10.26µm
_0416_,10.2µm
