Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_62_173,VGND,li1,85.7900,179.5200,0.000093
FILLER_62_165,VGND,li1,83.2600,179.5200,0.000090
FILLER_62_153,VGND,li1,78.6600,179.5200,0.000085
FILLER_62_141,VGND,li1,73.1400,179.5200,0.000077
FILLER_62_139,VGND,li1,69.6900,179.5200,0.000070
FILLER_62_133,VGND,li1,68.0800,179.5200,0.000070
FILLER_62_121,VGND,li1,63.9400,179.5200,0.000065
FILLER_62_109,VGND,li1,58.4200,179.5200,0.000056
FILLER_62_97,VGND,li1,52.9000,179.5200,0.000050
FILLER_62_85,VGND,li1,47.3800,179.5200,0.000043
FILLER_62_83,VGND,li1,43.9300,179.5200,0.000036
FILLER_62_77,VGND,li1,42.3200,179.5200,0.000036
FILLER_62_65,VGND,li1,38.1800,179.5200,0.000031
FILLER_62_53,VGND,li1,32.6600,179.5200,0.000023
FILLER_62_41,VGND,li1,27.1400,179.5200,0.000016
FILLER_62_29,VGND,li1,21.6200,179.5200,0.000013
FILLER_62_27,VGND,li1,18.1700,179.5200,0.000013
FILLER_62_15,VGND,li1,15.1800,179.5200,0.000013
FILLER_62_3,VGND,li1,9.6600,179.5200,0.000013
FILLER_61_405,VGND,li1,192.2800,179.5200,0.000019
FILLER_61_393,VGND,li1,189.0600,179.5200,0.000019
FILLER_61_391,VGND,li1,185.6100,179.5200,0.000019
FILLER_61_385,VGND,li1,184.0000,179.5200,0.000019
FILLER_61_373,VGND,li1,179.8600,179.5200,0.000019
FILLER_61_361,VGND,li1,174.3400,179.5200,0.000027
FILLER_61_349,VGND,li1,168.8200,179.5200,0.000037
FILLER_61_337,VGND,li1,163.3000,179.5200,0.000048
FILLER_61_335,VGND,li1,159.8500,179.5200,0.000054
FILLER_61_327,VGND,li1,157.7800,179.5200,0.000058
FILLER_61_315,VGND,li1,153.1800,179.5200,0.000067
FILLER_61_293,VGND,li1,142.1400,179.5200,0.000081
FILLER_61_281,VGND,li1,137.5400,179.5200,0.000086
FILLER_61_279,VGND,li1,134.0900,179.5200,0.000090
FILLER_61_275,VGND,li1,132.9400,179.5200,0.000090
FILLER_61_265,VGND,li1,127.6500,179.5200,0.000096
FILLER_61_261,VGND,li1,126.5000,179.5200,0.000096
FILLER_61_243,VGND,li1,117.5300,179.5200,0.000104
FILLER_61_237,VGND,li1,115.9200,179.5200,0.000104
FILLER_61_225,VGND,li1,111.7800,179.5200,0.000105
FILLER_61_200,VGND,li1,97.7500,179.5200,0.000105
FILLER_61_188,VGND,li1,94.7600,179.5200,0.000103
FILLER_61_177,VGND,li1,87.4000,179.5200,0.000096
FILLER_61_169,VGND,li1,85.1000,179.5200,0.000093
FILLER_61_167,VGND,li1,82.5700,179.5200,0.000088
FILLER_61_161,VGND,li1,80.9600,179.5200,0.000088
FILLER_61_149,VGND,li1,76.8200,179.5200,0.000082
FILLER_61_137,VGND,li1,71.3000,179.5200,0.000073
FILLER_61_125,VGND,li1,65.7800,179.5200,0.000067
FILLER_61_113,VGND,li1,60.2600,179.5200,0.000060
FILLER_61_111,VGND,li1,56.8100,179.5200,0.000053
FILLER_61_105,VGND,li1,55.2000,179.5200,0.000053
FILLER_61_93,VGND,li1,51.0600,179.5200,0.000048
FILLER_61_81,VGND,li1,45.5400,179.5200,0.000039
FILLER_61_69,VGND,li1,40.0200,179.5200,0.000033
FILLER_61_57,VGND,li1,34.5000,179.5200,0.000026
FILLER_61_55,VGND,li1,31.0500,179.5200,0.000020
FILLER_61_51,VGND,li1,29.9000,179.5200,0.000020
FILLER_61_39,VGND,li1,26.2200,179.5200,0.000013
FILLER_61_27,VGND,li1,20.7000,179.5200,0.000013
FILLER_61_15,VGND,li1,15.1800,179.5200,0.000013
FILLER_61_3,VGND,li1,9.6600,179.5200,0.000013
FILLER_60_401,VGND,li1,191.3600,174.0800,0.000010
FILLER_60_389,VGND,li1,187.2200,174.0800,0.000010
FILLER_60_377,VGND,li1,181.7000,174.0800,0.000010
